experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
1,2025-11-25 22:23:16,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3571.928,1.0,1,3571.93,327680,573440,17072,1,0,3.39,3571.93,1,10,5,9,80,0.000949
2,2025-11-25 22:23:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15890.0,1.0,1,15890.0,262144,1687552,83436,1,0,67.09,15890.0,1,22,4,26,278,0.004222
3,2025-11-25 22:23:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2225.0,1.0,1,2225.0,7798784,0,6356992,1,0,1.11,2225.0,1,104,119,0,945,0.000498
4,2025-11-25 22:23:18,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6198.01,1.0,1,6198.01,327680,966656,148348,1,0,10.25,6198.01,1,12,5,15,178,0.001653
5,2025-11-25 22:23:18,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],2909.0,1.0,1,2909.0,7798784,0,8454144,1,0,1.84,2909.0,1,120,119,0,1405,0.000634
6,2025-11-25 22:23:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],15101.7876,3.0,5,75508.94,15663104,2506752,16632856,2,3,171.6,24730.0,5,253,239,39,3203,0.006939
7,2025-11-25 22:23:21,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],42686.646,3.5,6,256119.88,983040,5210112,2594864,0,6,662.19,49588.93,6,63,15,81,1431,0.013354
8,2025-11-25 22:23:22,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10375.0,2.5,4,41500.0,29425664,0,31391744,0,4,25.3,10778.0,4,434,449,0,5226,0.002347
9,2025-11-25 22:23:23,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3571.928,1.0,1,3571.93,327680,573440,17072,1,0,3.39,3571.93,1,0,5,9,80,0.000949
10,2025-11-25 22:23:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],15890.0,1.0,1,15890.0,262144,1687552,83436,1,0,67.09,15890.0,1,0,4,26,278,0.004222
11,2025-11-25 22:23:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],2161.0,1.0,1,2161.0,8323072,0,5832704,1,0,1.05,2161.0,1,0,127,0,873,0.000488
12,2025-11-25 22:23:25,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],6206.01,1.0,1,6206.01,262144,966656,213884,1,0,10.27,6206.01,1,0,4,15,187,0.001655
13,2025-11-25 22:23:26,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],4304.0,1.0,1,4304.0,3604480,0,12648448,1,0,3.74,4304.0,1,0,55,0,2824,0.000868
14,2025-11-25 22:23:27,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],15905.5876,3.0,5,79527.94,5832704,2441216,26528792,0,5,171.65,24737.0,5,0,89,38,6271,0.006939
15,2025-11-25 22:23:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],44235.979333,3.5,6,265415.88,983040,5275648,2529328,0,6,662.19,49588.93,6,0,15,82,1442,0.013354
16,2025-11-25 22:23:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],17589.5,2.5,4,70358.0,4521984,0,56295424,0,4,65.63,18244.0,4,0,69,0,12807,0.003597
17,2025-11-25 22:23:30,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],3571.928,1.0,1,3571.93,327680,573440,17072,1,0,3.39,3571.93,1,0,5,9,80,0.000949
18,2025-11-25 22:23:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],15890.0,1.0,1,15890.0,262144,1687552,83436,1,0,67.09,15890.0,1,0,4,26,278,0.004222
19,2025-11-25 22:23:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_gru,"[[0,0,1,0,0]]",[],2163.0,1.0,1,2163.0,8257536,0,5898240,1,0,1.06,2163.0,1,0,126,0,884,0.000488
20,2025-11-25 22:23:32,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_harris,"[[0,0,0,1,0]]",[],6247.01,1.0,1,6247.01,327680,901120,213884,1,0,10.38,6247.01,1,0,5,14,168,0.001661
21,2025-11-25 22:23:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_lstm,"[[0,0,0,0,1]]",[],4136.0,1.0,1,4136.0,4128768,0,12124160,1,0,3.47,4136.0,1,0,63,0,2656,0.000839
22,2025-11-25 22:23:34,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_balanced,"[[1,1,1,1,1]]",[],13442.7876,3.0,5,67213.94,7405568,2441216,24955928,1,4,196.19,26880.0,5,0,113,38,5892,0.007299
23,2025-11-25 22:23:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],39176.979333,3.5,6,235061.88,1048576,5341184,2398256,0,6,652.26,49128.01,6,0,16,83,1377,0.013277
24,2025-11-25 22:23:36,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_ml_heavy,"[[0,0,2,0,2]]",[],16885.25,2.5,4,67541.0,6094848,0,54722560,0,4,63.92,17986.0,4,0,93,0,12557,0.003554
