experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
1,2025-11-26 10:36:12,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3588.928,1.0,1,3588.93,327680,573440,17072,1,0,3.41,3588.93,1,8000.0,10,5,9,96,0.000951
2,2025-11-26 10:36:13,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,22,4,26,376,0.004237
3,2025-11-26 10:36:14,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2296.0,1.0,1,2296.0,7798784,0,6356992,1,0,1.17,2296.0,1,8000.0,104,119,0,1016,0.00051
4,2025-11-26 10:36:14,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6236.01,1.0,1,6236.01,327680,835584,279420,1,0,10.35,6236.01,1,8000.0,12,5,13,280,0.00166
5,2025-11-26 10:36:15,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],3168.0,1.0,1,3168.0,7798784,0,8454144,1,0,2.14,3168.0,1,8000.0,120,119,0,1664,0.000677
6,2025-11-26 10:36:16,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],14102.3876,3.0,5,70511.94,15597568,2637824,16567320,3,2,173.39,24893.0,5,8000.0,256,238,41,3930,0.006966
7,2025-11-26 10:36:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],42820.479333,3.5,6,256922.88,983040,4947968,2857008,0,6,666.06,49765.93,6,8000.0,63,15,77,2086,0.013384
8,2025-11-26 10:36:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],11247.0,2.5,4,44988.0,29425664,0,31391744,0,4,29.16,11675.0,4,8000.0,434,449,0,6120,0.002498
9,2025-11-26 10:36:18,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3588.928,1.0,1,3588.93,327680,573440,17072,1,0,3.41,3588.93,1,8000.0,0,5,9,96,0.000951
10,2025-11-26 10:36:19,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,0,4,26,376,0.004237
11,2025-11-26 10:36:19,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],2240.0,1.0,1,2240.0,8323072,0,5832704,1,0,1.12,2240.0,1,8000.0,0,127,0,952,0.000501
12,2025-11-26 10:36:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],6251.01,1.0,1,6251.01,262144,835584,344956,1,0,10.4,6251.01,1,8000.0,0,4,13,296,0.001663
13,2025-11-26 10:36:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],4920.0,1.0,1,4920.0,3604480,0,12648448,1,0,4.78,4920.0,1,8000.0,0,55,0,3440,0.000972
14,2025-11-26 10:36:21,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],16863.9876,3.0,5,84319.94,6029312,2244608,26528792,0,5,172.43,24808.0,5,8000.0,0,92,35,7852,0.006951
15,2025-11-26 10:36:22,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],44383.646,3.5,6,266301.88,1048576,5013504,2725936,0,6,665.77,49750.93,6,8000.0,0,16,78,2122,0.013382
16,2025-11-26 10:36:23,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],20318.75,2.5,4,81275.0,4587520,0,56229888,0,4,85.59,21049.0,4,8000.0,0,70,0,15612,0.004066
17,2025-11-26 10:36:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],3588.928,1.0,1,3588.93,327680,573440,17072,1,0,3.41,3588.93,1,8000.0,0,5,9,96,0.000951
18,2025-11-26 10:36:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,0,4,26,376,0.004237
19,2025-11-26 10:36:25,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_gru,"[[0,0,1,0,0]]",[],2275.0,1.0,1,2275.0,8257536,0,5898240,1,0,1.15,2275.0,1,8000.0,0,126,0,996,0.000506
20,2025-11-26 10:36:25,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_harris,"[[0,0,0,1,0]]",[],6300.01,1.0,1,6300.01,327680,835584,279420,1,0,10.53,6300.01,1,8000.0,0,5,13,272,0.001672
21,2025-11-26 10:36:26,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_lstm,"[[0,0,0,0,1]]",[],4544.0,1.0,1,4544.0,4128768,0,12124160,1,0,4.13,4544.0,1,8000.0,0,63,0,3064,0.000908
22,2025-11-26 10:36:27,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_balanced,"[[1,1,1,1,1]]",[],13567.9876,3.0,5,67839.94,7536640,2441216,24824856,2,3,210.47,28071.0,5,8000.0,0,115,38,7068,0.007498
23,2025-11-26 10:36:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],26749.979333,3.5,6,160499.88,1179648,4882432,2725936,2,4,651.76,49103.0,6,8000.0,0,18,76,1951,0.013273
24,2025-11-26 10:36:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_ml_heavy,"[[0,0,2,0,2]]",[],19227.25,2.5,4,76909.0,6094848,0,54722560,0,4,81.14,20451.0,4,8000.0,0,93,0,15022,0.003967
25,2025-11-26 10:36:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_canny,"[[1,0,0,0,0]]",[],3588.928,1.0,1,3588.93,327680,573440,17072,1,0,3.41,3588.93,1,8000.0,0,5,9,96,0.000951
26,2025-11-26 10:36:30,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,0,4,26,376,0.004237
27,2025-11-26 10:36:30,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_gru,"[[0,0,1,0,0]]",[],2240.0,1.0,1,2240.0,8323072,0,5832704,1,0,1.12,2240.0,1,8000.0,0,127,0,952,0.000501
28,2025-11-26 10:36:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_harris,"[[0,0,0,1,0]]",[],6251.01,1.0,1,6251.01,262144,835584,344956,1,0,10.4,6251.01,1,8000.0,0,4,13,296,0.001663
29,2025-11-26 10:36:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_lstm,"[[0,0,0,0,1]]",[],4920.0,1.0,1,4920.0,3604480,0,12648448,1,0,4.78,4920.0,1,8000.0,0,55,0,3440,0.000972
30,2025-11-26 10:36:32,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_balanced,"[[1,1,1,1,1]]",[],15464.5876,3.0,5,77322.94,6029312,1916928,26856280,1,4,172.96,24855.0,5,8000.0,0,92,30,7888,0.006959
31,2025-11-26 10:36:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_vision_heavy,"[[2,2,0,2,0]]",[],42060.479333,3.5,6,252362.88,1048576,4882432,2857008,0,6,651.38,49087.0,6,8000.0,0,16,76,2064,0.01327
32,2025-11-26 10:36:34,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_ml_heavy,"[[0,0,2,0,2]]",[],20205.75,2.5,4,80823.0,5046272,0,55771136,0,4,84.73,20932.0,4,8000.0,0,77,0,15492,0.004048
33,2025-11-26 10:36:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_canny,"[[1,0,0,0,0]]",[],3588.928,1.0,1,3588.93,327680,573440,17072,1,0,3.41,3588.93,1,8000.0,0,5,9,96,0.000951
34,2025-11-26 10:36:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,0,4,26,376,0.004237
35,2025-11-26 10:36:36,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_gru,"[[0,0,1,0,0]]",[],2544.0,1.0,1,2544.0,7274496,0,6881280,1,0,1.4,2544.0,1,8000.0,0,111,0,1272,0.000552
36,2025-11-26 10:36:36,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_harris,"[[0,0,0,1,0]]",[],6243.01,1.0,1,6243.01,262144,835584,344956,1,0,10.37,6243.01,1,8000.0,0,4,13,320,0.001661
37,2025-11-26 10:36:37,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_lstm,"[[0,0,0,0,1]]",[],3232.0,1.0,1,3232.0,7274496,0,8978432,1,0,2.23,3232.0,1,8000.0,0,111,0,1736,0.000689
38,2025-11-26 10:36:38,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_balanced,"[[1,1,1,1,1]]",[],12291.5876,3.0,5,61457.94,15073280,2506752,17222680,3,2,173.54,24908.0,5,8000.0,0,230,39,4080,0.006967
39,2025-11-26 10:36:39,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_vision_heavy,"[[2,2,0,2,0]]",[],38599.979333,3.5,6,231599.88,1179648,5079040,2529328,0,6,655.66,49285.01,6,8000.0,0,18,79,1947,0.013303
40,2025-11-26 10:36:39,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,mixed_ml_heavy,"[[0,0,2,0,2]]",[],7031.25,2.5,4,28125.0,29032448,0,31784960,2,2,28.68,11567.0,4,8000.0,0,443,0,6032,0.002479
41,2025-11-26 10:36:40,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],2930.928,1.0,1,2930.93,262144,638976,17072,1,0,2.47,2930.93,1,8000.0,10,4,10,112,0.000842
42,2025-11-26 10:36:41,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15988.0,1.0,1,15988.0,262144,1687552,83436,1,0,67.75,15988.0,1,8000.0,22,4,26,376,0.004237
43,2025-11-26 10:36:41,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2088.0,1.0,1,2088.0,6750208,1048576,6356992,1,0,0.99,2088.0,1,8000.0,112,103,16,1554,0.000475
44,2025-11-26 10:36:42,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],4029.01,1.0,1,4029.01,327680,1097728,17276,1,0,5.2,4029.01,1,8000.0,12,5,17,208,0.00129
45,2025-11-26 10:36:42,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],2040.0,1.0,1,2040.0,7798784,1048576,7405568,1,0,1.0,2040.0,1,8000.0,120,119,16,1848,0.00049
