application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-deblur-gru,CDG,FCFS,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18915604375.0,0.018916,24337277500.0,31408.25,6935573.0,4.384552,0.228073,874237570.0,2,134,66.66666666666667,87.01298701298701,96,66,30,49.740932642487046,34.196891191709845,154,-4010.6666666666665,2248.0,-11374.0,-2906.0,0.69640031699366,1.134877302453951,0.31757364852702946,0.63675,0.4771618242635147,0.8858136512269754
canny-deblur-gru,CDG,GEDF_D,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18915344375.0,0.018915,24337247500.0,30779.99,6937668.0,4.363504,0.229174,867326953.0,2,134,66.66666666666667,87.01298701298701,97,67,30,50.259067357512954,34.715025906735754,154,-4040.3333333333335,2248.0,-11375.0,-2994.0,0.6927136507269855,1.134877302453951,0.31751364972700546,0.62575,0.47163182486350275,0.8803136512269755
canny-deblur-gru,CDG,GEDF_N,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18867970000.0,0.018868,24290003125.0,30829.1,6946560.0,4.380278,0.228296,942439277.0,2,136,66.66666666666667,88.31168831168831,88,56,32,45.59585492227979,29.015544041450774,154,-2929.6666666666665,2201.0,-8210.0,-2780.0,0.7639890702185955,1.1320573588528229,0.5074098518029639,0.6525,0.579954925901482,0.8922786794264115
canny-deblur-gru,CDG,LAX,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18924455625.0,0.018924,24347768125.0,27370.99,7251661.0,2.502086,0.399666,863486925.0,2,136,66.66666666666667,88.31168831168831,102,71,31,52.84974093264248,36.787564766839374,154,-3467.6666666666665,2256.0,-9786.0,-2873.0,0.7296946786064279,1.1353572928541429,0.4128517429651407,0.640875,0.5268633714825703,0.8881161464270715
canny-deblur-gru,CDG,ELFD,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18893467500.0,0.018893,24315380000.0,23938.16,6939784.0,4.342875,0.230262,874394708.0,2,136,66.66666666666667,88.31168831168831,97,67,30,50.259067357512954,34.715025906735754,154,-3507.6666666666665,2226.0,-9795.0,-2954.0,0.7255396942061157,1.1335573288534229,0.4123117537649247,0.63075,0.5215308768824624,0.8821536644267114
canny-deblur-gru,CDG,LL,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18879470625.0,0.018879,24650095000.0,14808.19,7008935.0,3.748382,0.266782,941865180.0,2,136,66.66666666666667,88.31168831168831,54,54,0,27.979274611398964,27.979274611398964,154,-2914.0,2211.0,-8201.0,-2752.0,0.7655357292854145,1.132657346853063,0.50794984100318,0.656,0.58197492050159,0.8943286734265314
canny-deblur-gru,CDG,HetSched,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18886308125.0,0.018886,24573472500.0,23434.33,6977169.0,3.573253,0.279857,629245479.0,2,136,66.66666666666667,88.31168831168831,102,102,0,52.84974093264248,52.84974093264248,154,-3218.6666666666665,2218.0,-8214.0,-3660.0,0.727582398352033,1.1330773384532309,0.507169856602868,0.5425,0.524834928301434,0.8377886692266154
canny-deblur-gru,CDG,ELF,canny_1_deblur_1_gru_1_harris_0_lstm_0_,3,193,154,18930065625.0,0.01893,24352823125.0,27446.63,7157754.0,2.59901,0.384762,613936171.0,2,136,66.66666666666667,88.31168831168831,139,106,33,72.02072538860104,54.92227979274611,154,-3710.0,2263.0,-9793.0,-3600.0,0.6994030119397611,1.1357772844543108,0.4124317513649727,0.55,0.48121587568248636,0.8428886422271554
canny-deblur-harris,CDH,FCFS,canny_1_deblur_1_gru_0_harris_1_lstm_0_,3,66,52,24961246875.0,0.024961,25520596250.0,11747.46,364404.0,4.540284,0.220251,119169367.0,2,32,66.66666666666667,61.53846153846154,47,4,43,71.21212121212122,6.0606060606060606,52,-1974.6666666666667,8293.0,-10035.0,-4182.0,0.881522369552609,1.497570048599028,0.39791204175916484,0.749085018299634,0.5734985300293994,1.1233275334493311
canny-deblur-harris,CDH,GEDF_D,canny_1_deblur_1_gru_0_harris_1_lstm_0_,3,66,52,24962955625.0,0.024963,25522630000.0,11836.43,364937.0,4.535851,0.220466,119161210.0,2,32,66.66666666666667,61.53846153846154,47,4,43,71.21212121212122,6.0606060606060606,52,-1968.0,8295.0,-10020.0,-4179.0,0.8819223615527689,1.497690046199076,0.3988120237595248,0.749265014699706,0.5740385192296154,1.123477530449391
