application,app_instance_count,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
canny,1,FCFS,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3728930000.0,0.003729,3885130000.0,2198.04,95428.0,4.803266,0.208192,132340376.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,GEDF_D,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3728975000.0,0.003729,3885265000.0,2200.46,95513.0,4.797159,0.208457,132355942.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,GEDF_N,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3736450000.0,0.003736,3892740000.0,2569.08,95148.0,4.815262,0.207673,114551513.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,1,LAX,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3735811250.0,0.003736,3892866250.0,2521.35,115615.0,3.411151,0.293156,114571099.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,1,HetSched,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3733453750.0,0.003733,3890358125.0,2113.95,99356.0,4.389564,0.227813,132197165.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,ELF,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3754218750.0,0.003754,3911263125.0,2540.97,114331.0,3.528077,0.283441,114009339.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,2,FCFS,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50046643750.0,0.050047,55994231875.0,37556.05,3293482.0,4.165233,0.240083,206367245.0,16,192,1600.0,1600.0,9,1,8,64.28571428571429,7.142857142857142,198
canny,2,GEDF_D,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50051761250.0,0.050052,56000001250.0,37500.92,3295408.0,4.154954,0.240677,206356375.0,16,192,1600.0,1600.0,9,1,8,64.28571428571429,7.142857142857142,198
canny,2,GEDF_N,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50052743750.0,0.050053,56000983750.0,42651.66,3289407.0,4.145308,0.241237,185406739.0,16,192,1600.0,1600.0,10,2,8,71.42857142857143,14.285714285714285,198
canny,2,LAX,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50133756250.0,0.050134,56082766250.0,42671.29,3661070.0,2.59111,0.385935,185146709.0,16,192,1600.0,1600.0,10,2,8,71.42857142857143,14.285714285714285,198
canny,2,HetSched,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50647846250.0,0.050648,56596836250.0,37435.95,3375342.0,3.639702,0.274748,191846973.0,17,204,1700.0,1700.0,11,3,8,78.57142857142857,21.428571428571427,208
canny,2,ELF,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50177388750.0,0.050177,56126441250.0,43682.08,3630086.0,2.623904,0.381112,173272309.0,16,192,1600.0,1600.0,11,3,8,78.57142857142857,21.428571428571427,197
canny,3,FCFS,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50115575000.0,0.050116,59034968125.0,36227.22,4766826.0,4.18682,0.238845,227558239.0,15,180,1500.0,1500.0,9,1,8,64.28571428571429,7.142857142857142,197
canny,3,GEDF_D,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50120738125.0,0.050121,59040581250.0,36151.02,4769132.0,4.176192,0.239453,227536074.0,15,180,1500.0,1500.0,9,1,8,64.28571428571429,7.142857142857142,197
canny,3,GEDF_N,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50109638125.0,0.05011,59029481250.0,40775.03,4763134.0,4.160432,0.24036,206651901.0,15,180,1500.0,1500.0,10,2,8,71.42857142857143,14.285714285714285,197
canny,3,LAX,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50206341875.0,0.050206,59127541875.0,40477.1,5146495.0,2.568958,0.389263,208963960.0,15,180,1500.0,1500.0,10,2,8,71.42857142857143,14.285714285714285,197
canny,3,HetSched,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50646822500.0,0.050647,59567750000.0,36342.04,4851530.0,3.627367,0.275682,193621308.0,17,204,1700.0,1700.0,11,3,8,78.57142857142857,21.428571428571427,210
canny,3,ELF,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50096431250.0,0.050096,59017908750.0,40424.59,5101794.0,2.627072,0.380652,182571169.0,15,180,1500.0,1500.0,11,3,8,78.57142857142857,21.428571428571427,193
deblur,1,FCFS,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16053067500.0,0.016053,16242016875.0,4657.71,133624.0,4.338861,0.230475,46101843.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,1,GEDF_D,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16052690625.0,0.016053,16241730000.0,4629.07,133689.0,4.333909,0.230739,46102926.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
