experiment_num,app_mix_list,gem5_policy,ds3_scheduler,num_apps,ds3_execution_time_us,completed_jobs,deadlines_met,deadlines_missed,status
1,"[1, 0, 0, 0, 0]",GEDF_D,GEDF_D,1,3653.93,1,1,0,success
2,"[1, 0, 0, 0, 0]",GEDF_N,GEDF_N,1,3676.93,1,1,0,success
3,"[1, 0, 0, 0, 0]",LAX,LL,1,3676.93,1,1,0,success
4,"[1, 0, 0, 0, 0]",HetSched,HetSched,1,3653.93,1,1,0,success
5,"[1, 0, 0, 0, 0]",ELF,RELIEF,1,3641.93,1,1,0,success
6,"[0, 1, 0, 0, 0]",GEDF_D,GEDF_D,1,16032.0,1,1,0,success
7,"[0, 1, 0, 0, 0]",GEDF_N,GEDF_N,1,16032.0,1,1,0,success
8,"[0, 1, 0, 0, 0]",LAX,LL,1,16032.0,1,1,0,success
9,"[0, 1, 0, 0, 0]",HetSched,HetSched,1,16032.0,1,1,0,success
10,"[0, 1, 0, 0, 0]",ELF,RELIEF,1,16032.0,1,1,0,success
11,"[0, 0, 1, 0, 0]",GEDF_D,GEDF_D,1,3872.0,1,1,0,success
12,"[0, 0, 1, 0, 0]",GEDF_N,GEDF_N,1,3956.0,1,1,0,success
13,"[0, 0, 1, 0, 0]",LAX,LL,1,3956.0,1,1,0,success
14,"[0, 0, 1, 0, 0]",HetSched,HetSched,1,3000.0,1,1,0,success
15,"[0, 0, 1, 0, 0]",ELF,RELIEF,1,3012.0,1,1,0,success
16,"[0, 0, 0, 1, 0]",GEDF_D,GEDF_D,1,6544.01,1,1,0,success
17,"[0, 0, 0, 1, 0]",GEDF_N,GEDF_N,1,6437.01,1,1,0,success
18,"[0, 0, 0, 1, 0]",LAX,LL,1,6437.01,1,1,0,success
19,"[0, 0, 0, 1, 0]",HetSched,HetSched,1,6544.01,1,1,0,success
20,"[0, 0, 0, 1, 0]",ELF,RELIEF,1,6437.01,1,1,0,success
21,"[0, 0, 0, 0, 1]",GEDF_D,GEDF_D,1,5504.0,1,1,0,success
22,"[0, 0, 0, 0, 1]",GEDF_N,GEDF_N,1,5604.0,1,1,0,success
23,"[0, 0, 0, 0, 1]",LAX,LL,1,5604.0,1,1,0,success
24,"[0, 0, 0, 0, 1]",HetSched,HetSched,1,4560.0,1,1,0,success
25,"[0, 0, 0, 0, 1]",ELF,RELIEF,1,3808.0,1,1,0,success
26,"[1, 1, 0, 0, 0]",GEDF_D,GEDF_D,2,18965.0,2,1,1,success
27,"[1, 1, 0, 0, 0]",GEDF_N,GEDF_N,2,19030.0,2,1,1,success
28,"[1, 1, 0, 0, 0]",LAX,LL,2,19030.0,2,1,1,success
29,"[1, 1, 0, 0, 0]",HetSched,HetSched,2,19042.0,2,1,1,success
30,"[1, 1, 0, 0, 0]",ELF,RELIEF,2,19030.0,2,1,1,success
31,"[1, 0, 1, 0, 0]",GEDF_D,GEDF_D,2,4827.93,2,2,0,success
32,"[1, 0, 1, 0, 0]",GEDF_N,GEDF_N,2,4940.93,2,2,0,success
33,"[1, 0, 1, 0, 0]",LAX,LL,2,4940.93,2,2,0,success
34,"[1, 0, 1, 0, 0]",HetSched,HetSched,2,4066.93,2,2,0,success
35,"[1, 0, 1, 0, 0]",ELF,RELIEF,2,3961.93,2,2,0,success
36,"[1, 0, 0, 1, 0]",GEDF_D,GEDF_D,2,9488.01,2,2,0,success
37,"[1, 0, 0, 1, 0]",GEDF_N,GEDF_N,2,9288.01,2,2,0,success
38,"[1, 0, 0, 1, 0]",LAX,LL,2,9950.93,2,2,0,success
39,"[1, 0, 0, 1, 0]",HetSched,HetSched,2,9499.01,2,2,0,success
40,"[1, 0, 0, 1, 0]",ELF,RELIEF,2,9849.93,2,2,0,success
41,"[1, 0, 0, 0, 1]",GEDF_D,GEDF_D,2,6534.93,2,2,0,success
42,"[1, 0, 0, 0, 1]",GEDF_N,GEDF_N,2,6635.93,2,2,0,success
43,"[1, 0, 0, 0, 1]",LAX,LL,2,6635.93,2,2,0,success
44,"[1, 0, 0, 0, 1]",HetSched,HetSched,2,4913.0,2,2,0,success
45,"[1, 0, 0, 0, 1]",ELF,RELIEF,2,4743.93,2,2,0,success
46,"[0, 1, 1, 0, 0]",GEDF_D,GEDF_D,2,18478.0,2,1,1,success
47,"[0, 1, 1, 0, 0]",GEDF_N,GEDF_N,2,16066.0,2,2,0,success
48,"[0, 1, 1, 0, 0]",LAX,LL,2,16066.0,2,2,0,success
49,"[0, 1, 1, 0, 0]",HetSched,HetSched,2,16083.0,2,2,0,success
50,"[0, 1, 1, 0, 0]",ELF,RELIEF,2,16108.0,2,2,0,success
51,"[0, 1, 0, 1, 0]",GEDF_D,GEDF_D,2,22188.0,2,1,1,success
52,"[0, 1, 0, 1, 0]",GEDF_N,GEDF_N,2,22700.0,2,1,1,success
53,"[0, 1, 0, 1, 0]",LAX,LL,2,22700.0,2,1,1,success
54,"[0, 1, 0, 1, 0]",HetSched,HetSched,2,22356.0,2,1,1,success
55,"[0, 1, 0, 1, 0]",ELF,RELIEF,2,22700.0,2,1,1,success
56,"[0, 1, 0, 0, 1]",GEDF_D,GEDF_D,2,20110.0,2,1,1,success
57,"[0, 1, 0, 0, 1]",GEDF_N,GEDF_N,2,16121.0,2,2,0,success
58,"[0, 1, 0, 0, 1]",LAX,LL,2,16121.0,2,2,0,success
59,"[0, 1, 0, 0, 1]",HetSched,HetSched,2,16077.0,2,2,0,success
60,"[0, 1, 0, 0, 1]",ELF,RELIEF,2,16278.0,2,2,0,success
61,"[0, 0, 1, 1, 0]",GEDF_D,GEDF_D,2,9086.01,2,2,0,success
62,"[0, 0, 1, 1, 0]",GEDF_N,GEDF_N,2,9059.01,2,2,0,success
63,"[0, 0, 1, 1, 0]",LAX,LL,2,9059.01,2,2,0,success
64,"[0, 0, 1, 1, 0]",HetSched,HetSched,2,8232.01,2,2,0,success
65,"[0, 0, 1, 1, 0]",ELF,RELIEF,2,8115.01,2,2,0,success
66,"[0, 0, 1, 0, 1]",GEDF_D,GEDF_D,2,10754.0,2,0,2,success
67,"[0, 0, 1, 0, 1]",GEDF_N,GEDF_N,2,10768.0,2,0,2,success
68,"[0, 0, 1, 0, 1]",LAX,LL,2,10791.0,2,0,2,success
69,"[0, 0, 1, 0, 1]",HetSched,HetSched,2,7560.0,2,1,1,success
70,"[0, 0, 1, 0, 1]",ELF,RELIEF,2,6964.0,2,2,0,success
71,"[0, 0, 0, 1, 1]",GEDF_D,GEDF_D,2,10900.01,2,2,0,success
72,"[0, 0, 0, 1, 1]",GEDF_N,GEDF_N,2,10893.01,2,2,0,success
73,"[0, 0, 0, 1, 1]",LAX,LL,2,10893.01,2,2,0,success
74,"[0, 0, 0, 1, 1]",HetSched,HetSched,2,6489.01,2,2,0,success
75,"[0, 0, 0, 1, 1]",ELF,RELIEF,2,7551.01,2,2,0,success
76,"[1, 1, 1, 0, 0]",GEDF_D,GEDF_D,3,18981.0,3,2,1,success
77,"[1, 1, 1, 0, 0]",GEDF_N,GEDF_N,3,18965.0,3,2,1,success
78,"[1, 1, 1, 0, 0]",LAX,LL,3,18965.0,3,2,1,success
79,"[1, 1, 1, 0, 0]",ELFD,RELIEF,3,19030.0,3,2,1,success
80,"[1, 1, 1, 0, 0]",HetSched,HetSched,3,19141.0,3,2,1,success
81,"[1, 1, 1, 0, 0]",ELF,RELIEF,3,19030.0,3,2,1,success
82,"[1, 1, 0, 1, 0]",GEDF_D,GEDF_D,3,25162.0,3,2,1,success
83,"[1, 1, 0, 1, 0]",GEDF_N,GEDF_N,3,25624.0,3,1,2,success
84,"[1, 1, 0, 1, 0]",LAX,LL,3,25987.0,3,1,2,success
85,"[1, 1, 0, 1, 0]",ELFD,RELIEF,3,25987.0,3,1,2,success
86,"[1, 1, 0, 1, 0]",HetSched,HetSched,3,25293.0,3,1,2,success
87,"[1, 1, 0, 1, 0]",ELF,RELIEF,3,25987.0,3,1,2,success
88,"[1, 1, 0, 0, 1]",GEDF_D,GEDF_D,3,20312.0,3,2,1,success
89,"[1, 1, 0, 0, 1]",GEDF_N,GEDF_N,3,18989.0,3,2,1,success
90,"[1, 1, 0, 0, 1]",LAX,LL,3,18989.0,3,2,1,success
91,"[1, 1, 0, 0, 1]",ELFD,RELIEF,3,19024.0,3,2,1,success
92,"[1, 1, 0, 0, 1]",HetSched,HetSched,3,19372.0,3,2,1,success
93,"[1, 1, 0, 0, 1]",ELF,RELIEF,3,19024.0,3,2,1,success
94,"[1, 0, 1, 1, 0]",GEDF_D,GEDF_D,3,9463.01,3,3,0,success
95,"[1, 0, 1, 1, 0]",GEDF_N,GEDF_N,3,9467.01,3,3,0,success
96,"[1, 0, 1, 1, 0]",LAX,LL,3,9467.01,3,3,0,success
97,"[1, 0, 1, 1, 0]",ELFD,RELIEF,3,9887.93,3,3,0,success
98,"[1, 0, 1, 1, 0]",HetSched,HetSched,3,9487.01,3,3,0,success
99,"[1, 0, 1, 1, 0]",ELF,RELIEF,3,9887.93,3,3,0,success
100,"[1, 0, 1, 0, 1]",GEDF_D,GEDF_D,3,11634.93,3,1,2,success
101,"[1, 0, 1, 0, 1]",GEDF_N,GEDF_N,3,11812.93,3,1,2,success
102,"[1, 0, 1, 0, 1]",LAX,LL,3,11829.93,3,1,2,success
103,"[1, 0, 1, 0, 1]",ELFD,RELIEF,3,7968.93,3,3,0,success
104,"[1, 0, 1, 0, 1]",HetSched,HetSched,3,7913.0,3,2,1,success
105,"[1, 0, 1, 0, 1]",ELF,RELIEF,3,7968.93,3,3,0,success
106,"[1, 0, 0, 1, 1]",GEDF_D,GEDF_D,3,10983.01,3,3,0,success
107,"[1, 0, 0, 1, 1]",GEDF_N,GEDF_N,3,10893.01,3,3,0,success
108,"[1, 0, 0, 1, 1]",LAX,LL,3,10893.01,3,3,0,success
109,"[1, 0, 0, 1, 1]",ELFD,RELIEF,3,9268.01,3,3,0,success
110,"[1, 0, 0, 1, 1]",HetSched,HetSched,3,10250.01,3,3,0,success
111,"[1, 0, 0, 1, 1]",ELF,RELIEF,3,9268.01,3,3,0,success
112,"[0, 1, 1, 1, 0]",GEDF_D,GEDF_D,3,23433.0,3,2,1,success
113,"[0, 1, 1, 1, 0]",GEDF_N,GEDF_N,3,22307.0,3,2,1,success
114,"[0, 1, 1, 1, 0]",LAX,LL,3,22307.0,3,2,1,success
115,"[0, 1, 1, 1, 0]",ELFD,RELIEF,3,22615.0,3,2,1,success
116,"[0, 1, 1, 1, 0]",HetSched,HetSched,3,22259.0,3,2,1,success
117,"[0, 1, 1, 1, 0]",ELF,RELIEF,3,22615.0,3,2,1,success
118,"[0, 1, 1, 0, 1]",GEDF_D,GEDF_D,3,25277.0,3,0,3,success
119,"[0, 1, 1, 0, 1]",GEDF_N,GEDF_N,3,19401.0,3,0,3,success
120,"[0, 1, 1, 0, 1]",LAX,LL,3,19400.0,3,0,3,success
121,"[0, 1, 1, 0, 1]",ELFD,RELIEF,3,16397.0,3,1,2,success
122,"[0, 1, 1, 0, 1]",HetSched,HetSched,3,16109.0,3,2,1,success
123,"[0, 1, 1, 0, 1]",ELF,RELIEF,3,16397.0,3,1,2,success
124,"[0, 1, 0, 1, 1]",GEDF_D,GEDF_D,3,25007.0,3,2,1,success
125,"[0, 1, 0, 1, 1]",GEDF_N,GEDF_N,3,22179.0,3,2,1,success
126,"[0, 1, 0, 1, 1]",LAX,LL,3,22179.0,3,2,1,success
127,"[0, 1, 0, 1, 1]",ELFD,RELIEF,3,22258.0,3,2,1,success
128,"[0, 1, 0, 1, 1]",HetSched,HetSched,3,22339.0,3,2,1,success
129,"[0, 1, 0, 1, 1]",ELF,RELIEF,3,22258.0,3,2,1,success
130,"[0, 0, 1, 1, 1]",GEDF_D,GEDF_D,3,15983.01,3,1,2,success
131,"[0, 0, 1, 1, 1]",GEDF_N,GEDF_N,3,15871.01,3,1,2,success
132,"[0, 0, 1, 1, 1]",LAX,LL,3,15894.01,3,1,2,success
133,"[0, 0, 1, 1, 1]",ELFD,RELIEF,3,12081.01,3,3,0,success
134,"[0, 0, 1, 1, 1]",HetSched,HetSched,3,12774.01,3,2,1,success
135,"[0, 0, 1, 1, 1]",ELF,RELIEF,3,12081.01,3,3,0,success
136,"[1, 1, 1, 1, 0]",GEDF_D,GEDF_D,4,25235.0,4,3,1,success
137,"[1, 1, 1, 1, 0]",GEDF_N,GEDF_N,4,25676.0,4,2,2,success
138,"[1, 1, 1, 1, 0]",LAX,LL,4,25675.0,4,1,3,success
139,"[1, 1, 1, 1, 0]",ELF,RELIEF,4,25817.0,4,1,3,success
140,"[1, 1, 1, 0, 1]",GEDF_D,GEDF_D,4,25482.0,4,1,3,success
141,"[1, 1, 1, 0, 1]",GEDF_N,GEDF_N,4,20341.0,4,1,3,success
142,"[1, 1, 1, 0, 1]",LAX,LL,4,20239.0,4,1,3,success
143,"[1, 1, 1, 0, 1]",ELF,RELIEF,4,19065.0,4,1,3,success
144,"[1, 1, 0, 1, 1]",GEDF_D,GEDF_D,4,25383.0,4,3,1,success
145,"[1, 1, 0, 1, 1]",GEDF_N,GEDF_N,4,25388.0,4,2,2,success
146,"[1, 1, 0, 1, 1]",LAX,LL,4,25768.0,4,2,2,success
147,"[1, 1, 0, 1, 1]",ELF,RELIEF,4,25972.0,4,2,2,success
148,"[1, 0, 1, 1, 1]",GEDF_D,GEDF_D,4,16305.01,4,2,2,success
149,"[1, 0, 1, 1, 1]",GEDF_N,GEDF_N,4,16211.01,4,2,2,success
150,"[1, 0, 1, 1, 1]",LAX,LL,4,16221.01,4,2,2,success
151,"[1, 0, 1, 1, 1]",ELF,RELIEF,4,12470.01,4,3,1,success
152,"[0, 1, 1, 1, 1]",GEDF_D,GEDF_D,4,30303.0,4,0,4,success
153,"[0, 1, 1, 1, 1]",GEDF_N,GEDF_N,4,24502.0,4,0,4,success
154,"[0, 1, 1, 1, 1]",LAX,LL,4,24469.0,4,0,4,success
155,"[0, 1, 1, 1, 1]",ELF,RELIEF,4,22563.0,4,1,3,success
