experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,memory_bandwidth,arbitration_type,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
421,2025-12-02 09:17:28,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,single_tx,"[[0,1]]",[],5280,min_coloc,123.0,1.0,1,123.0,10720,10240,120,0,1,0.04,123.0,1,19,20,10,0,0.000357
422,2025-12-02 09:17:29,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,single_rx,"[[1,0]]",[],5280,min_coloc,657.0,1.0,1,657.0,9580,10600,10240,0,1,1.42,657.0,1,18,21,16,0,0.002157
423,2025-12-02 09:17:29,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,mixed_1rx_1tx,"[[1,1]]",[],5280,min_coloc,681.5,1.5,2,1363.0,20300,20840,10360,0,2,1.95,777.0,2,34,41,26,0,0.00251
424,2025-12-02 09:17:30,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,mixed_2rx_1tx,"[[2,1]]",[],5280,min_coloc,823.666667,2.0,3,2471.0,29880,31440,20600,0,3,6.68,1435.0,3,54,62,42,0,0.004654
425,2025-12-02 09:17:30,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,mixed_1rx_2tx,"[[1,2]]",[],5280,min_coloc,645.666667,2.0,3,1937.0,31020,31080,10480,0,3,2.58,901.0,3,52,61,36,0,0.002865
426,2025-12-02 09:17:31,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,mixed_2rx_2tx,"[[2,2]]",[],5280,min_coloc,815.0,2.5,4,3260.0,40600,41680,20720,0,4,7.8,1558.0,4,71,82,52,0,0.005005
427,2025-12-02 09:17:31,SoC.COMM_a1_A1_m1_f1_v1.txt,RELIEF,mixed_3rx_3tx,"[[3,3]]",[],5280,min_coloc,1206.333333,3.5,6,7238.0,60900,59448,34152,0,6,17.45,2332.0,6,105,123,75,0,0.007484
428,2025-12-02 09:17:32,SoC.COMM_a1_A1_m1_f1_v1.txt,LL,single_tx,"[[0,1]]",[],5280,min_coloc,175.0,1.0,1,175.0,10720,10240,120,0,1,0.06,175.0,1,0,20,10,0,0.000366
429,2025-12-02 09:17:32,SoC.COMM_a1_A1_m1_f1_v1.txt,LL,single_rx,"[[1,0]]",[],5280,min_coloc,657.0,1.0,1,657.0,9580,10600,10240,0,1,1.42,657.0,1,0,21,16,0,0.002157
430,2025-12-02 09:17:33,SoC.COMM_a1_A1_m1_f1_v1.txt,LL,mixed_1rx_1tx,"[[1,1]]",[],5280,min_coloc,653.5,1.5,2,1307.0,20300,20840,10360,0,2,1.96,780.0,2,0,41,26,0,0.002513
