experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
1,2025-12-04 14:33:04,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],4050.0,1.0,1,4050.0,327680,573440,17072,1,0,4.36,4050.0,1,5280,10,5,9,,0,0.001075
2,2025-12-04 14:33:04,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,22,0,26,,0,0.004425
3,2025-12-04 14:33:05,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2827.0,1.0,1,2827.0,7274496,0,6881280,1,0,1.7,2827.0,1,5280,104,111,0,,0,0.0006
4,2025-12-04 14:33:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],7057.0,1.0,1,7057.0,262144,507904,672636,1,0,12.94,7057.0,1,5280,12,4,8,,0,0.001834
5,2025-12-04 14:33:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],3531.0,1.0,1,3531.0,7798784,0,8454144,1,0,2.61,3531.0,1,5280,120,119,0,,0,0.00074
6,2025-12-04 14:33:07,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],15114.2,2.8,5,75571.0,15466496,1097728,18238488,2,3,204.95,27476.0,5,5280,252,236,17,101092571,0,0.007459
7,2025-12-04 14:33:08,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],24222.333333,3.0,6,145334.0,851968,3096576,4839472,2,4,768.2,54071.0,6,5280,69,13,48,294241487,0,0.014207
8,2025-12-04 14:33:09,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],19078.5,2.5,4,76314.0,11862016,0,48955392,0,4,71.66,19133.0,4,5280,151,181,0,2076,0,0.003745
9,2025-12-04 14:33:10,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],4050.0,1.0,1,4050.0,327680,573440,17072,1,0,4.36,4050.0,1,5280,0,5,9,,0,0.001075
10,2025-12-04 14:33:10,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
11,2025-12-04 14:33:11,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],3771.0,1.0,1,3771.0,4653056,0,9502720,1,0,2.86,3771.0,1,5280,0,71,0,,0,0.000759
12,2025-12-04 14:33:12,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],7057.0,1.0,1,7057.0,196608,507904,738172,1,0,12.94,7057.0,1,5280,0,3,8,,0,0.001834
13,2025-12-04 14:33:12,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],5342.0,1.0,1,5342.0,3080192,0,13172736,1,0,5.58,5342.0,1,5280,0,47,0,,0,0.001044
14,2025-12-04 14:33:13,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],14646.0,2.8,5,73230.0,7929856,1032192,25840664,3,2,178.88,25660.0,5,5280,0,121,16,66135492,0,0.006971
15,2025-12-04 14:33:14,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],27874.666667,3.0,6,167248.0,524288,2441216,5822512,0,6,818.23,56091.0,6,5280,0,8,38,170589242,0,0.014588
16,2025-12-04 14:33:15,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],22226.5,2.5,4,88906.0,2883584,0,57933824,0,4,95.22,22281.0,4,5280,0,44,0,2076,0,0.004273
17,2025-12-04 14:33:16,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],4085.0,1.0,1,4085.0,262144,507904,148144,1,0,4.41,4085.0,1,5280,0,4,8,,0,0.00108
18,2025-12-04 14:33:16,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
19,2025-12-04 14:33:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_gru,"[[0,0,1,0,0]]",[],3590.0,1.0,1,3590.0,5636096,0,8519680,1,0,2.62,3590.0,1,5280,0,86,0,,0,0.000729
20,2025-12-04 14:33:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_harris,"[[0,0,0,1,0]]",[],7120.0,1.0,1,7120.0,262144,638976,541564,1,0,13.14,7120.0,1,5280,0,4,10,,0,0.001846
21,2025-12-04 14:33:18,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_lstm,"[[0,0,0,0,1]]",[],5037.0,1.0,1,5037.0,4128768,0,12124160,1,0,4.99,5037.0,1,5280,0,63,0,,0,0.000991
22,2025-12-04 14:33:19,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_balanced,"[[1,1,1,1,1]]",[],12068.2,2.8,5,60341.0,10289152,1556480,22957080,4,1,199.04,27129.0,5,5280,0,157,24,68445882,0,0.007337
23,2025-12-04 14:33:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],25343.833333,3.0,6,152063.0,917504,2179072,5691440,2,4,755.82,53740.0,6,5280,0,14,34,365727176,0,0.014064
