application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
canny-deblur,CD,FCFS,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18897670625.0,0.018898,19233820000.0,10419.31,221400.0,4.625782,0.21618,79249344.0,1,14,50.0,41.1764705882353,35,4,31,79.54545454545455,9.090909090909092,34
canny-deblur,CD,GEDF_D,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18898230625.0,0.018898,19234735000.0,10242.5,221620.0,4.617085,0.216587,79246996.0,1,14,50.0,41.1764705882353,35,4,31,79.54545454545455,9.090909090909092,34
canny-deblur,CD,GEDF_N,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18842350000.0,0.018842,19178860000.0,10367.4,223257.0,4.662697,0.214468,89909592.0,1,16,50.0,47.05882352941177,35,2,33,79.54545454545455,4.545454545454546,34
canny-deblur,CD,LAX,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18897487500.0,0.018897,19234650000.0,7094.32,295593.0,2.634816,0.379533,86186060.0,1,16,50.0,47.05882352941177,35,3,32,79.54545454545455,6.8181818181818175,34
canny-deblur,CD,HetSched,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18852482500.0,0.018852,19189611875.0,6185.48,235933.0,4.011705,0.249271,86344279.0,1,16,50.0,47.05882352941177,25,0,25,56.81818181818182,0.0,34
canny-deblur,CD,ELF,canny_1_deblur_1_gru_0_harris_0_lstm_0_,2,44,34,18917560625.0,0.018918,19254600000.0,7187.03,289909.0,2.737729,0.365266,75722025.0,1,16,50.0,47.05882352941177,37,3,34,84.0909090909091,6.8181818181818175,34
canny-gru,CG,FCFS,canny_1_deblur_0_gru_1_harris_0_lstm_0_,2,163,132,4255258750.0,0.004255,9493356250.0,24615.09,6808997.0,4.394058,0.22758,3802673574.0,2,132,100.0,100.0,67,61,6,41.104294478527606,37.423312883435585,132
canny-gru,CG,GEDF_D,canny_1_deblur_0_gru_1_harris_0_lstm_0_,2,163,132,4840914375.0,0.004841,10079011875.0,24692.36,6809830.0,4.297269,0.232706,3180169449.0,2,132,100.0,100.0,73,67,6,44.785276073619634,41.104294478527606,132
canny-gru,CG,GEDF_N,canny_1_deblur_0_gru_1_harris_0_lstm_0_,2,163,132,5009203750.0,0.005009,10247301250.0,24617.68,6817431.0,4.30512,0.232282,3295715811.0,2,132,100.0,100.0,65,58,7,39.87730061349693,35.58282208588957,132
canny-gru,CG,LAX,canny_1_deblur_0_gru_1_harris_0_lstm_0_,2,163,132,4957541875.0,0.004958,10196811250.0,16291.93,7070822.0,2.492966,0.401129,3052658027.0,2,132,100.0,100.0,79,72,7,48.466257668711656,44.171779141104295,132
