app_mix_label,app_mix_list,app_mix_str,application,application_mix,avg_deadline_difference,avg_slowdown,dag_deadlines_met,deadline,final_tick,forwards_only,host_seconds,max_deadline_difference,max_slowdown,median_deadline_difference,median_slowdown,mem_ctrls.bw_total::total,min_deadline_difference,min_slowdown,node_deadlines_met,num_apps,num_colocations,num_edges,num_forwards,num_nodes,percent_colocations,percent_dag_deadlines_met,percent_forwards,percent_node_deadlines_met,policy,sim_insts,sim_seconds,sim_ticks,slowdown_p25,slowdown_p75,system.cpu.cpi,system.cpu.ipc,total_dags,total_edges,total_nodes
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3862416250.0,7,2606.89,,,,,150875049.0,,,12,1,4,14.0,11,12.0,28.57142857142857,100.0,78.57142857142857,100.0,FCFS,92962.0,0.003708,3707756875.0,,,5.059173,0.197661,12,,
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3862621250.0,7,2563.26,,,,,150870370.0,,,12,1,4,14.0,11,12.0,28.57142857142857,100.0,78.57142857142857,100.0,GEDF_D,93047.0,0.003708,3707871875.0,,,5.069998,0.197239,12,,
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3878730625.0,8,2510.95,,,,,167816097.0,,,12,1,3,14.0,11,12.0,21.428571428571427,100.0,78.57142857142857,100.0,GEDF_N,93818.0,0.0037240000000000003,3723981250.0,,,5.071994999999999,0.197161,12,,
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3894761250.0,8,2125.46,,,,,167111631.0,,,12,1,3,14.0,11,12.0,21.428571428571427,100.0,78.57142857142857,100.0,LAX,116996.0,0.003739,3739296875.0,,,2.966126,0.33714,12,,
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3867786250.0,7,1399.14,,,,,150668348.0,,,12,1,4,14.0,11,12.0,28.57142857142857,100.0,78.57142857142857,100.0,HetSched,97806.0,0.0037119999999999996,3712418750.0,,,4.385991000000001,0.22799899999999998,12,,
,"[1, 0, 0, 0, 0]",canny_1_deblur_0_gru_0_harris_0_lstm_0_,canny,,,,1,16667.0,3875359375.0,8,2067.21,,,,,132868445.0,,,12,1,4,14.0,12,12.0,28.57142857142857,100.0,85.71428571428571,100.0,ELF,113469.0,0.00372,3719890000.0,,,3.133159,0.31916700000000003,12,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16239995625.0,26,5804.64,,,,,46132350.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,FCFS,130143.0,0.016052,16052163125.0,,,4.621658999999999,0.216373,22,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16239997500.0,26,5807.84,,,,,46132603.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,GEDF_D,130210.0,0.016052,16052075000.0,,,4.616893,0.216596,22,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16240018750.0,26,5786.56,,,,,46132542.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,GEDF_N,130210.0,0.016052,16052096250.0,,,4.6186169999999995,0.216515,22,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16268523750.0,26,5009.23,,,,,46056570.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,LAX,179079.0,0.01608,16079964375.0,,,2.6378779999999997,0.37909299999999996,22,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16246598125.0,26,3652.97,,,,,46108159.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,HetSched,138863.0,0.016058000000000003,16057808750.0,,,4.0069040000000005,0.249569,22,,
,"[0, 1, 0, 0, 0]",canny_0_deblur_1_gru_0_harris_0_lstm_0_,deblur,,,,1,16667.0,16269488750.0,26,4898.54,,,,,46054794.0,,,22,1,0,30.0,26,22.0,0.0,100.0,86.66666666666669,100.0,ELF,175491.0,0.016081,16080584375.0,,,2.739548,0.36502399999999996,22,,
,"[0, 0, 1, 0, 0]",canny_0_deblur_0_gru_1_harris_0_lstm_0_,gru,,,,1,8000.0,9056780000.0,0,20333.95,,,,,3721761518.0,,,120,1,63,149.0,63,120.0,42.28187919463088,100.0,42.28187919463088,100.0,FCFS,6713902.0,0.003967,3966620625.0,,,4.285808,0.233328,120,,
