app_mix_list_str,ds3_scheduler,gem5_execution_time_us,num_apps,policy,ds3_execution_time_us,abs_percentage_error
"[1, 0, 0, 0, 0]",GEDF_D,3708.0,1,GEDF_D,3653.93,1.4581984897518923
"[1, 0, 0, 0, 0]",GEDF_N,3724.0000000000005,1,GEDF_N,3676.93,1.2639634801289101
"[1, 0, 0, 0, 0]",LL,3739.0,1,LAX,3676.93,1.6600695373094454
"[1, 0, 0, 0, 0]",HetSched,3711.9999999999995,1,HetSched,3653.93,1.5643857758620614
"[1, 0, 0, 0, 0]",RELIEF,3720.0,1,ELF,3641.93,2.098655913978499
"[0, 1, 0, 0, 0]",GEDF_D,16052.0,1,GEDF_D,16032.0,0.12459506603538499
"[0, 1, 0, 0, 0]",GEDF_N,16052.0,1,GEDF_N,16032.0,0.12459506603538499
"[0, 1, 0, 0, 0]",LL,16080.0,1,LAX,16032.0,0.2985074626865672
"[0, 1, 0, 0, 0]",HetSched,16058.000000000004,1,HetSched,16032.0,0.1619130651388942
"[0, 1, 0, 0, 0]",RELIEF,16081.000000000002,1,ELF,16032.0,0.30470741869287865
"[0, 0, 1, 0, 0]",GEDF_D,3968.0,1,GEDF_D,3872.0,2.4193548387096775
"[0, 0, 1, 0, 0]",GEDF_N,4129.0,1,GEDF_N,3956.0,4.189876483410027
"[0, 0, 1, 0, 0]",LL,4038.0,1,LAX,3956.0,2.0307082714214957
"[0, 0, 1, 0, 0]",HetSched,3251.0,1,HetSched,3000.0,7.720701322669949
"[0, 0, 1, 0, 0]",RELIEF,3335.0000000000005,1,ELF,3012.0,9.685157421289366
"[0, 0, 0, 1, 0]",GEDF_D,6437.000000000001,1,GEDF_D,6544.01,1.6624203821655943
"[0, 0, 0, 1, 0]",GEDF_N,6310.000000000001,1,GEDF_N,6437.01,2.012836767036439
"[0, 0, 0, 1, 0]",LL,6326.0,1,LAX,6437.01,1.754821372115084
"[0, 0, 0, 1, 0]",HetSched,6314.0,1,HetSched,6544.01,3.6428571428571463
"[0, 0, 0, 1, 0]",RELIEF,6329.0,1,ELF,6437.01,1.706588718596938
"[0, 0, 0, 0, 1]",GEDF_D,5308.0,1,GEDF_D,5504.0,3.6925395629238884
"[0, 0, 0, 0, 1]",GEDF_N,5580.0,1,GEDF_N,5604.0,0.43010752688172044
"[0, 0, 0, 0, 1]",LL,5622.999999999999,1,LAX,5604.0,0.33789791926016527
"[0, 0, 0, 0, 1]",HetSched,4547.0,1,HetSched,4560.0,0.28590279305036287
"[0, 0, 0, 0, 1]",RELIEF,3836.0,1,ELF,3808.0,0.7299270072992701
"[1, 1, 0, 0, 0]",GEDF_D,18897.999999999996,2,GEDF_D,18965.0,0.35453487141498385
"[1, 1, 0, 0, 0]",GEDF_N,18841.999999999996,2,GEDF_N,19030.0,0.9977709372678254
"[1, 1, 0, 0, 0]",LL,18897.0,2,LAX,19030.0,0.7038154204371064
"[1, 1, 0, 0, 0]",HetSched,18852.0,2,HetSched,19042.0,1.0078506259282833
"[1, 1, 0, 0, 0]",RELIEF,18918.0,2,ELF,19030.0,0.5920287556824189
"[1, 0, 1, 0, 0]",GEDF_D,4841.0,2,GEDF_D,4827.93,0.2699855401776432
"[1, 0, 1, 0, 0]",GEDF_N,5009.0,2,GEDF_N,4940.93,1.3589538830105752
"[1, 0, 1, 0, 0]",LL,4958.0,2,LAX,4940.93,0.34429205324727125
"[1, 0, 1, 0, 0]",HetSched,4116.0,2,HetSched,4066.93,1.1921768707483034
"[1, 0, 1, 0, 0]",RELIEF,4122.0,2,ELF,3961.93,3.883309073265409
"[1, 0, 0, 1, 0]",GEDF_D,9351.0,2,GEDF_D,9488.01,1.4651908886750105
"[1, 0, 0, 1, 0]",GEDF_N,9216.0,2,GEDF_N,9288.01,0.7813585069444469
"[1, 0, 0, 1, 0]",LL,9815.0,2,LAX,9950.93,1.3849210392256779
"[1, 0, 0, 1, 0]",HetSched,9192.0,2,HetSched,9499.01,3.339969538729332
"[1, 0, 0, 1, 0]",RELIEF,9788.0,2,ELF,9849.93,0.6327135267674733
"[1, 0, 0, 0, 1]",GEDF_D,6169.0,2,GEDF_D,6534.93,5.931755551953319
"[1, 0, 0, 0, 1]",GEDF_N,6473.000000000001,2,GEDF_N,6635.93,2.51707090993356
"[1, 0, 0, 0, 1]",LL,6534.000000000001,2,LAX,6635.93,1.5599938781756866
"[1, 0, 0, 0, 1]",HetSched,4713.0,2,HetSched,4913.0,4.2435815828559305
"[1, 0, 0, 0, 1]",RELIEF,4652.0,2,ELF,4743.93,1.9761392949269194
"[0, 1, 1, 0, 0]",GEDF_D,18414.0,2,GEDF_D,18478.0,0.34756163788421857
"[0, 1, 1, 0, 0]",GEDF_N,16132.0,2,GEDF_N,16066.0,0.4091247210513266
"[0, 1, 1, 0, 0]",LL,16152.0,2,LAX,16066.0,0.5324418028727093
"[0, 1, 1, 0, 0]",HetSched,16131.0,2,HetSched,16083.0,0.29756369722893805
"[0, 1, 1, 0, 0]",RELIEF,16365.999999999998,2,ELF,16108.0,1.5764389588170489
"[0, 1, 0, 1, 0]",GEDF_D,22046.0,2,GEDF_D,22188.0,0.6441077746529983
"[0, 1, 0, 1, 0]",GEDF_N,21936.0,2,GEDF_N,22700.0,3.482859226841721
"[0, 1, 0, 1, 0]",LL,22075.0,2,LAX,22700.0,2.8312570781426953
"[0, 1, 0, 1, 0]",HetSched,21943.0,2,HetSched,22356.0,1.8821492047577815
"[0, 1, 0, 1, 0]",RELIEF,21969.0,2,ELF,22700.0,3.327415904228686
"[0, 1, 0, 0, 1]",GEDF_D,19747.0,2,GEDF_D,20110.0,1.8382539119866308
"[0, 1, 0, 0, 1]",GEDF_N,16146.999999999998,2,GEDF_N,16121.0,0.16102062302593784
"[0, 1, 0, 0, 1]",LL,16199.000000000002,2,LAX,16121.0,0.48151120439534423
"[0, 1, 0, 0, 1]",HetSched,16137.000000000002,2,HetSched,16077.0,0.3718163227365794
"[0, 1, 0, 0, 1]",RELIEF,16149.0,2,ELF,16278.0,0.7988110718929966
"[0, 0, 1, 1, 0]",GEDF_D,9039.0,2,GEDF_D,9086.01,0.5200796548290764
"[0, 0, 1, 1, 0]",GEDF_N,9094.0,2,GEDF_N,9059.01,0.38475918187815905
"[0, 0, 1, 1, 0]",LL,9005.0,2,LAX,9059.01,0.5997779011660213
"[0, 0, 1, 1, 0]",HetSched,8221.0,2,HetSched,8232.01,0.13392531322223838
"[0, 0, 1, 1, 0]",RELIEF,8308.0,2,ELF,8115.01,2.3229417428984087
"[0, 0, 1, 0, 1]",GEDF_D,10801.0,2,GEDF_D,10754.0,0.43514489399129713
"[0, 0, 1, 0, 1]",GEDF_N,10796.0,2,GEDF_N,10768.0,0.2593553167839941
"[0, 0, 1, 0, 1]",LL,11169.0,2,LAX,10791.0,3.3843674456083805
"[0, 0, 1, 0, 1]",HetSched,7812.999999999999,2,HetSched,7560.0,3.238192755663626
"[0, 0, 1, 0, 1]",RELIEF,7209.999999999999,2,ELF,6964.0,3.411927877947283
"[0, 0, 0, 1, 1]",GEDF_D,10390.0,2,GEDF_D,10900.01,4.908662175168433
"[0, 0, 0, 1, 1]",GEDF_N,10545.0,2,GEDF_N,10893.01,3.3002370791844498
"[0, 0, 0, 1, 1]",LL,10603.0,2,LAX,10893.01,2.7351692917098958
"[0, 0, 0, 1, 1]",HetSched,6309.0,2,HetSched,6489.01,2.853225550800447
"[0, 0, 0, 1, 1]",RELIEF,8812.0,2,ELF,7551.01,14.309918293236493
"[1, 1, 1, 0, 0]",GEDF_D,18915.0,3,GEDF_D,18981.0,0.3489294210943696
"[1, 1, 1, 0, 0]",GEDF_N,18868.0,3,GEDF_N,18965.0,0.5140979436082256
"[1, 1, 1, 0, 0]",LL,18924.0,3,LAX,18965.0,0.2166560980765166
"[1, 1, 1, 0, 0]",RELIEF,18893.0,3,ELFD,19030.0,0.7251362938654529
"[1, 1, 1, 0, 0]",RELIEF,18893.0,3,ELFD,19030.0,0.7251362938654529
"[1, 1, 1, 0, 0]",RELIEF,18930.000000000004,3,ELF,19030.0,0.5282620179608893
"[1, 1, 1, 0, 0]",RELIEF,18930.000000000004,3,ELF,19030.0,0.5282620179608893
"[1, 1, 1, 0, 0]",HetSched,18886.0,3,HetSched,19141.0,1.3502065021709202
"[1, 1, 0, 1, 0]",GEDF_D,24963.0,3,GEDF_D,25162.0,0.7971798261426912
"[1, 1, 0, 1, 0]",GEDF_N,24724.0,3,GEDF_N,25624.0,3.640187671897751
"[1, 1, 0, 1, 0]",LL,24987.0,3,LAX,25987.0,4.002081082162725
"[1, 1, 0, 1, 0]",RELIEF,24977.000000000004,3,ELFD,25987.0,4.043720222604781
"[1, 1, 0, 1, 0]",RELIEF,24977.000000000004,3,ELFD,25987.0,4.043720222604781
"[1, 1, 0, 1, 0]",RELIEF,24801.0,3,ELF,25987.0,4.782065239304867
"[1, 1, 0, 1, 0]",RELIEF,24801.0,3,ELF,25987.0,4.782065239304867
"[1, 1, 0, 1, 0]",HetSched,24737.000000000004,3,HetSched,25293.0,2.247645227796403
"[1, 1, 0, 0, 1]",GEDF_D,19773.0,3,GEDF_D,20312.0,2.725939412329945
"[1, 1, 0, 0, 1]",GEDF_N,18884.0,3,GEDF_N,18989.0,0.5560262656216903
"[1, 1, 0, 0, 1]",LL,18931.0,3,LAX,18989.0,0.3063757857482436
"[1, 1, 0, 0, 1]",RELIEF,18906.0,3,ELFD,19024.0,0.6241404845022744
"[1, 1, 0, 0, 1]",RELIEF,18906.0,3,ELFD,19024.0,0.6241404845022744
"[1, 1, 0, 0, 1]",RELIEF,18932.0,3,ELF,19024.0,0.4859497147686457
"[1, 1, 0, 0, 1]",RELIEF,18932.0,3,ELF,19024.0,0.4859497147686457
"[1, 1, 0, 0, 1]",HetSched,18888.0,3,HetSched,19372.0,2.562473528166031
"[1, 0, 1, 1, 0]",GEDF_D,9334.0,3,GEDF_D,9463.01,1.3821512749089375
"[1, 0, 1, 1, 0]",GEDF_N,9237.0,3,GEDF_N,9467.01,2.490094186424166
"[1, 0, 1, 1, 0]",LL,9240.0,3,LAX,9467.01,2.4568181818181842
"[1, 0, 1, 1, 0]",RELIEF,9339.0,3,ELFD,9887.93,5.877824178177538
"[1, 0, 1, 1, 0]",RELIEF,9339.0,3,ELFD,9887.93,5.877824178177538
"[1, 0, 1, 1, 0]",RELIEF,9783.0,3,ELF,9887.93,1.0725748747827895
"[1, 0, 1, 1, 0]",RELIEF,9783.0,3,ELF,9887.93,1.0725748747827895
"[1, 0, 1, 1, 0]",HetSched,9200.0,3,HetSched,9487.01,3.1196739130434805
"[1, 0, 1, 0, 1]",GEDF_D,11634.0,3,GEDF_D,11634.93,0.007993811242911217
"[1, 0, 1, 0, 1]",GEDF_N,11641.0,3,GEDF_N,11812.93,1.476934971222406
"[1, 0, 1, 0, 1]",LL,11365.0,3,LAX,11829.93,4.090893092828863
"[1, 0, 1, 0, 1]",RELIEF,11005.0,3,ELFD,7968.93,27.58809631985461
"[1, 0, 1, 0, 1]",RELIEF,11005.0,3,ELFD,7968.93,27.58809631985461
"[1, 0, 1, 0, 1]",RELIEF,8078.0,3,ELF,7968.93,1.350210448130722
"[1, 0, 1, 0, 1]",RELIEF,8078.0,3,ELF,7968.93,1.350210448130722
"[1, 0, 1, 0, 1]",HetSched,8002.0,3,HetSched,7913.0,1.1122219445138715
"[1, 0, 0, 1, 1]",GEDF_D,10404.0,3,GEDF_D,10983.01,5.565263360246061
"[1, 0, 0, 1, 1]",GEDF_N,10582.0,3,GEDF_N,10893.01,2.939047439047441
"[1, 0, 0, 1, 1]",LL,10600.0,3,LAX,10893.01,2.76424528301887
"[1, 0, 0, 1, 1]",RELIEF,9337.999999999998,3,ELFD,9268.01,0.7495180980937886
"[1, 0, 0, 1, 1]",RELIEF,9337.999999999998,3,ELFD,9268.01,0.7495180980937886
"[1, 0, 0, 1, 1]",RELIEF,9242.0,3,ELF,9268.01,0.28143259034841184
"[1, 0, 0, 1, 1]",RELIEF,9242.0,3,ELF,9268.01,0.28143259034841184
"[1, 0, 0, 1, 1]",HetSched,9193.000000000002,3,HetSched,10250.01,11.497987599260288
"[0, 1, 1, 1, 0]",GEDF_D,23109.0,3,GEDF_D,23433.0,1.4020511489030247
"[0, 1, 1, 1, 0]",GEDF_N,21969.0,3,GEDF_N,22307.0,1.538531567208339
"[0, 1, 1, 1, 0]",LL,22098.0,3,LAX,22307.0,0.9457869490451625
"[0, 1, 1, 1, 0]",RELIEF,22050.0,3,ELFD,22615.0,2.562358276643991
"[0, 1, 1, 1, 0]",RELIEF,22050.0,3,ELFD,22615.0,2.562358276643991
"[0, 1, 1, 1, 0]",RELIEF,21990.0,3,ELF,22615.0,2.8422010004547524
"[0, 1, 1, 1, 0]",RELIEF,21990.0,3,ELF,22615.0,2.8422010004547524
"[0, 1, 1, 1, 0]",HetSched,21987.0,3,HetSched,22259.0,1.2370946468367672
"[0, 1, 1, 0, 1]",GEDF_D,25253.0,3,GEDF_D,25277.0,0.0950382132815903
"[0, 1, 1, 0, 1]",GEDF_N,20197.0,3,GEDF_N,19401.0,3.941179383076695
"[0, 1, 1, 0, 1]",LL,16673.0,3,LAX,19400.0,16.355784801775325
"[0, 1, 1, 0, 1]",RELIEF,17250.0,3,ELFD,16397.0,4.9449275362318845
"[0, 1, 1, 0, 1]",RELIEF,17250.0,3,ELFD,16397.0,4.9449275362318845
"[0, 1, 1, 0, 1]",RELIEF,16984.0,3,ELF,16397.0,3.4561940650023546
"[0, 1, 1, 0, 1]",RELIEF,16984.0,3,ELF,16397.0,3.4561940650023546
"[0, 1, 1, 0, 1]",HetSched,16187.0,3,HetSched,16109.0,0.4818681658120714
"[0, 1, 0, 1, 1]",GEDF_D,24459.0,3,GEDF_D,25007.0,2.240484075391471
"[0, 1, 0, 1, 1]",GEDF_N,21980.0,3,GEDF_N,22179.0,0.905368516833485
"[0, 1, 0, 1, 1]",LL,23275.999999999996,3,LAX,22179.0,4.713009108094159
"[0, 1, 0, 1, 1]",RELIEF,22065.0,3,ELFD,22258.0,0.8746884205755722
"[0, 1, 0, 1, 1]",RELIEF,22065.0,3,ELFD,22258.0,0.8746884205755722
"[0, 1, 0, 1, 1]",RELIEF,21988.0,3,ELF,22258.0,1.2279425140985991
"[0, 1, 0, 1, 1]",RELIEF,21988.0,3,ELF,22258.0,1.2279425140985991
"[0, 1, 0, 1, 1]",HetSched,21981.0,3,HetSched,22339.0,1.6286793139529594
"[0, 0, 1, 1, 1]",GEDF_D,15881.0,3,GEDF_D,15983.01,0.6423399030287779
"[0, 0, 1, 1, 1]",GEDF_N,15765.000000000002,3,GEDF_N,15871.01,0.67243894703456
"[0, 0, 1, 1, 1]",LL,11512.0,3,LAX,15894.01,38.06471507991661
"[0, 0, 1, 1, 1]",RELIEF,11222.0,3,ELFD,12081.01,7.654696132596688
"[0, 0, 1, 1, 1]",RELIEF,11222.0,3,ELFD,12081.01,7.654696132596688
"[0, 0, 1, 1, 1]",RELIEF,12221.0,3,ELF,12081.01,1.1454872760003254
"[0, 0, 1, 1, 1]",RELIEF,12221.0,3,ELF,12081.01,1.1454872760003254
"[0, 0, 1, 1, 1]",HetSched,8694.0,3,HetSched,12774.01,46.929031515988044
"[1, 1, 1, 1, 0]",GEDF_D,26229.000000000004,4,GEDF_D,25235.0,3.7896984254070056
"[1, 1, 1, 1, 0]",GEDF_N,25300.0,4,GEDF_N,25676.0,1.4861660079051384
"[1, 1, 1, 1, 0]",LL,25558.0,4,LAX,25675.0,0.4577822990844354
"[1, 1, 1, 1, 0]",RELIEF,25274.0,4,ELF,25817.0,2.1484529556065524
"[1, 1, 1, 0, 1]",GEDF_D,34222.0,4,GEDF_D,25482.0,25.539126877447256
"[1, 1, 1, 0, 1]",GEDF_N,28928.0,4,GEDF_N,20341.0,29.68404314159292
"[1, 1, 1, 0, 1]",LL,21830.000000000004,4,LAX,20239.0,7.288135593220354
"[1, 1, 1, 0, 1]",RELIEF,21539.0,4,ELF,19065.0,11.486141417893124
"[1, 1, 0, 1, 1]",GEDF_D,28883.999999999996,4,GEDF_D,25383.0,12.120897382633974
"[1, 1, 0, 1, 1]",GEDF_N,25325.0,4,GEDF_N,25388.0,0.2487660414610069
"[1, 1, 0, 1, 1]",LL,25608.0,4,LAX,25768.0,0.6248047485160888
"[1, 1, 0, 1, 1]",RELIEF,25309.0,4,ELF,25972.0,2.6196214785254255
"[1, 0, 1, 1, 1]",GEDF_D,24813.0,4,GEDF_D,16305.01,34.28843751259421
"[1, 0, 1, 1, 1]",GEDF_N,24605.000000000004,4,GEDF_N,16211.01,34.114976630766115
"[1, 0, 1, 1, 1]",LL,21001.0,4,LAX,16221.01,22.76077329650969
"[1, 0, 1, 1, 1]",RELIEF,16510.0,4,ELF,12470.01,24.46995760145366
"[0, 1, 1, 1, 1]",GEDF_D,38932.99999999999,4,GEDF_D,30303.0,22.166285670254013
"[0, 1, 1, 1, 1]",GEDF_N,33564.0,4,GEDF_N,24502.0,26.999165772851864
"[0, 1, 1, 1, 1]",LL,24701.0,4,LAX,24469.0,0.93923322942391
"[0, 1, 1, 1, 1]",RELIEF,26167.000000000004,4,ELF,22563.0,13.77307295448467
