experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
1,2025-11-26 10:24:27,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3544.928,1.0,1,3544.93,327680,573440,17072,1,0,3.35,3544.93,1,16000,10,5,9,48,0.000944
2,2025-11-26 10:24:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15800.0,1.0,1,15800.0,262144,1687552,83436,1,0,66.48,15800.0,1,16000,22,4,26,188,0.004207
3,2025-11-26 10:24:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],1788.0,1.0,1,1788.0,7798784,0,6356992,1,0,0.76,1788.0,1,16000,104,119,0,508,0.000424
4,2025-11-26 10:24:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6164.01,1.0,1,6164.01,327680,835584,279420,1,0,10.16,6164.01,1,16000,12,5,13,176,0.001648
5,2025-11-26 10:24:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],2336.0,1.0,1,2336.0,7798784,0,8454144,1,0,1.26,2336.0,1,16000,120,119,0,832,0.000538
6,2025-11-26 10:24:30,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],13478.9876,3.0,5,67394.94,15597568,2637824,16567320,3,2,171.11,24689.0,5,16000,257,238,41,2207,0.00693
7,2025-11-26 10:24:31,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],42541.146,3.5,6,255246.88,983040,4947968,2857008,0,6,658.5,49417.93,6,16000,63,15,77,1629,0.013325
8,2025-11-26 10:24:32,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],8224.0,2.5,4,32896.0,29491200,0,31326208,0,4,17.04,8599.0,4,16000,445,450,0,3044,0.001982
9,2025-11-26 10:24:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3544.928,1.0,1,3544.93,327680,573440,17072,1,0,3.35,3544.93,1,16000,0,5,9,48,0.000944
10,2025-11-26 10:24:33,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],15800.0,1.0,1,15800.0,262144,1687552,83436,1,0,66.48,15800.0,1,16000,0,4,26,188,0.004207
11,2025-11-26 10:24:34,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],1764.0,1.0,1,1764.0,8323072,0,5832704,1,0,0.74,1764.0,1,16000,0,127,0,476,0.000421
12,2025-11-26 10:24:34,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],6171.01,1.0,1,6171.01,262144,835584,344956,1,0,10.18,6171.01,1,16000,0,4,13,184,0.00165
13,2025-11-26 10:24:35,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],3672.0,1.0,1,3672.0,3604480,0,12648448,1,0,2.8,3672.0,1,16000,0,55,0,2184,0.000762
14,2025-11-26 10:24:36,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],16550.9876,3.0,5,82754.94,5832704,2310144,26594328,1,4,178.14,25318.93,5,16000,0,89,36,5341,0.007036
15,2025-11-26 10:24:37,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],44089.646,3.5,6,264537.88,1048576,5013504,2725936,0,6,658.41,49410.93,6,16000,0,16,78,1679,0.013325
16,2025-11-26 10:24:38,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],14743.75,2.5,4,58975.0,5046272,0,55771136,0,4,47.74,15340.0,4,16000,0,77,0,9902,0.003112
17,2025-11-26 10:24:38,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],3544.928,1.0,1,3544.93,327680,573440,17072,1,0,3.35,3544.93,1,16000,0,5,9,48,0.000944
18,2025-11-26 10:24:39,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],15800.0,1.0,1,15800.0,262144,1687552,83436,1,0,66.48,15800.0,1,16000,0,4,26,188,0.004207
