application,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
canny,FCFS,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3707756875.0,0.003708,3862416250.0,2606.89,92962.0,5.059173,0.197661,150875049.0,1,12,100.0,100.0,11,4,7,78.57142857142857,28.57142857142857,12
canny,GEDF_D,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3707871875.0,0.003708,3862621250.0,2563.26,93047.0,5.069998,0.197239,150870370.0,1,12,100.0,100.0,11,4,7,78.57142857142857,28.57142857142857,12
canny,GEDF_N,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3723981250.0,0.003724,3878730625.0,2510.95,93818.0,5.071995,0.197161,167816097.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,LAX,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3739296875.0,0.003739,3894761250.0,2125.46,116996.0,2.966126,0.33714,167111631.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,HetSched,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3712418750.0,0.003712,3867786250.0,1399.14,97806.0,4.385991,0.227999,150668348.0,1,12,100.0,100.0,11,4,7,78.57142857142857,28.57142857142857,12
canny,ELF,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3719890000.0,0.00372,3875359375.0,2067.21,113469.0,3.133159,0.319167,132868445.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
deblur,FCFS,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16052163125.0,0.016052,16239995625.0,5804.64,130143.0,4.621659,0.216373,46132350.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,GEDF_D,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16052075000.0,0.016052,16239997500.0,5807.84,130210.0,4.616893,0.216596,46132603.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,GEDF_N,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16052096250.0,0.016052,16240018750.0,5786.56,130210.0,4.618617,0.216515,46132542.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,LAX,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16079964375.0,0.01608,16268523750.0,5009.23,179079.0,2.637878,0.379093,46056570.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,HetSched,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16057808750.0,0.016058,16246598125.0,3652.97,138863.0,4.006904,0.249569,46108159.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,ELF,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16080584375.0,0.016081,16269488750.0,4898.54,175491.0,2.739548,0.365024,46054794.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
