DVFS policy,Job ID,Task ID,PE,Exec. Time (us),deadline,runtime,Energy (J)
performance,0,0,ISP_0,34,13564,37,3.4761000000000005e-06
performance,0,1,GRAYSCALE_0,6,13601,53,6.166000000000001e-07
performance,1,12,ISP_0,34,481,223,3.4761000000000005e-06
performance,1,13,GRAYSCALE_0,6,518,239,6.166000000000001e-07
performance,0,2,CONVOLUTION_0,1545,15177,1611,0.00015456099999999967
performance,1,14,CONVOLUTION_1,1545,2007,1797,0.00015456099999999967
performance,1,15,ELEM_MATRIX_0,11,2064,1821,1.1e-06
performance,0,3,CONVOLUTION_0,637,15846,2249,6.373199999999992e-05
performance,0,5,ELEM_MATRIX_0,8,15885,2271,8.000000000000001e-07
performance,0,4,CONVOLUTION_0,637,15846,2249,6.373199999999994e-05
performance,0,7,ELEM_MATRIX_1,8,15885,2910,8e-07
performance,0,6,ELEM_MATRIX_0,11,15981,2913,1.1e-06
performance,0,8,ELEM_MATRIX_1,11,15942,2933,1.1e-06
performance,0,9,ELEM_MATRIX_1,8,15981,2941,8.000000000000001e-07
performance,0,10,CANNY_NON_MAX_0,377,16427,3331,3.779059999999999e-05
performance,1,16,CONVOLUTION_1,1545,3641,3378,0.00015456099999999965
performance,1,17,ELEM_MATRIX_0,11,3698,3402,1.1e-06
performance,0,11,EDGE_TRACKING_0,216,16667,3560,2.1692800000000007e-05
performance,1,18,CONVOLUTION_0,1545,5274,4959,0.00015456099999999965
performance,1,19,ELEM_MATRIX_0,11,5331,4983,1.1e-06
performance,1,20,CONVOLUTION_0,1545,6908,6540,0.00015456099999999965
performance,1,21,ELEM_MATRIX_0,11,6965,6564,1.1e-06
performance,1,22,CONVOLUTION_0,1545,8541,8121,0.00015456099999999967
performance,1,23,ELEM_MATRIX_0,11,8598,8145,1.1e-06
performance,1,24,CONVOLUTION_0,1545,10175,9702,0.00015456099999999967
performance,1,25,ELEM_MATRIX_0,11,10232,9726,1.1e-06
performance,1,26,CONVOLUTION_0,1545,11808,11283,0.00015456099999999967
performance,1,27,ELEM_MATRIX_0,11,11865,11307,1.1e-06
performance,1,28,CONVOLUTION_0,1545,13442,12864,0.00015456099999999967
performance,1,29,ELEM_MATRIX_0,11,13499,12888,1.1e-06
performance,1,30,CONVOLUTION_0,1545,15075,14445,0.00015456099999999967
performance,1,31,ELEM_MATRIX_0,11,15132,14469,1.1e-06
performance,1,32,CONVOLUTION_0,1545,16709,16026,0.00015456099999999967
performance,1,33,ELEM_MATRIX_0,11,16766,16050,1.1e-06
performance,0,0,ISP_0,34,13564,37,3.4761000000000005e-06
performance,0,1,GRAYSCALE_0,6,13601,53,6.166000000000001e-07
performance,1,12,ISP_0,34,481,223,3.4761000000000005e-06
performance,1,13,GRAYSCALE_0,6,518,239,6.166000000000001e-07
performance,0,2,CONVOLUTION_0,1545,15177,1611,0.00015456099999999967
performance,1,14,CONVOLUTION_1,1545,2007,1797,0.00015456099999999967
performance,1,15,ELEM_MATRIX_0,11,2064,1821,1.1e-06
performance,0,3,CONVOLUTION_0,637,15846,2249,6.373199999999992e-05
performance,0,4,CONVOLUTION_2,637,15846,2249,6.373199999999992e-05
performance,0,5,ELEM_MATRIX_0,8,15885,2271,8.000000000000001e-07
performance,0,7,ELEM_MATRIX_1,8,15885,2282,8.000000000000001e-07
performance,0,8,ELEM_MATRIX_0,11,15942,2305,1.1e-06
performance,0,6,ELEM_MATRIX_1,11,15981,2285,1.1e-06
performance,0,9,ELEM_MATRIX_0,8,15981,2313,8e-07
performance,0,10,CANNY_NON_MAX_0,377,16427,2703,3.77906e-05
performance,0,11,EDGE_TRACKING_0,216,16667,2932,2.1692800000000003e-05
performance,1,16,CONVOLUTION_1,1545,3641,3378,0.00015456099999999965
performance,1,17,ELEM_MATRIX_0,11,3698,3402,1.1e-06
performance,1,18,CONVOLUTION_0,1545,5274,4959,0.00015456099999999965
performance,1,19,ELEM_MATRIX_0,11,5331,4983,1.1e-06
performance,1,20,CONVOLUTION_0,1545,6908,6540,0.00015456099999999965
performance,1,21,ELEM_MATRIX_0,11,6965,6564,1.1e-06
performance,1,22,CONVOLUTION_0,1545,8541,8121,0.00015456099999999967
performance,1,23,ELEM_MATRIX_0,11,8598,8145,1.1e-06
performance,1,24,CONVOLUTION_0,1545,10175,9702,0.00015456099999999967
performance,1,25,ELEM_MATRIX_0,11,10232,9726,1.1e-06
performance,1,26,CONVOLUTION_0,1545,11808,11283,0.00015456099999999967
performance,1,27,ELEM_MATRIX_0,11,11865,11307,1.1e-06
performance,1,28,CONVOLUTION_0,1545,13442,12864,0.00015456099999999967
performance,1,29,ELEM_MATRIX_0,11,13499,12888,1.1e-06
performance,1,30,CONVOLUTION_0,1545,15075,14445,0.00015456099999999967
performance,1,31,ELEM_MATRIX_0,11,15132,14469,1.1e-06
performance,1,32,CONVOLUTION_0,1545,16709,16026,0.00015456099999999967
performance,1,33,ELEM_MATRIX_0,11,16766,16050,1.1e-06
